"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/31/2023","ALDI 69043 000000000GROVE CITY          PA","ALDI 69043 000000000GROVE CITY          PA","18.89","debit","Groceries","Blue Cash Preferred®","",""
"3/31/2023","GROVE CITY COUNTY MAGROVE CITY          PA","GROVE CITY COUNTY MAGROVE CITY          PA","3.58","debit","Groceries","Blue Cash Preferred®","",""
"3/31/2023","March 2023 Dividend","March 2023 Dividend","0.02","credit","Investments","Checking","",""
"3/31/2023","March 2023 Dividend","March 2023 Dividend","34.89","credit","Investments","18 Month Certificate","",""
"3/31/2023","PINE TOWNSHIP ONLINE PMT~ Future Amount: 96.15 ~ Tran: ACHDW","PINE TOWNSHIP ONLINE PMT~ Future Amount: 96.15 ~ Tran: ACHDW","96.15","debit","Utilities","Checking","",""
"3/31/2023","AMEX EPAYMENT ACH PMT","AMEX EPAYMENT ACH PMT","660.40","debit","Credit Card Payment","Checking","",""
"3/31/2023","VANG TOT BD MKT ADM","VANG TOT BD MKT ADM","151.86","credit","Dividend & Cap Gains","WABTEC CORPORATION","",""
"3/31/2023","VANGUARD DIVIDEND APPREC INDEX ADMIRAL CL - Buy","VANGUARD DIVIDEND APPREC INDEX ADMIRAL CL - Buy","100.00","debit","Dividend & Cap Gains","Gregory C Faulconbridge, Emily E. Faulconbridge Brokerage Account XXXX0377","",""
"3/31/2023","VANGUARD TOTAL STOCK MARKET INDEX ADMIRAL CL - Buy","VANGUARD TOTAL STOCK MARKET INDEX ADMIRAL CL - Buy","100.00","debit","Buy","Gregory C Faulconbridge, Emily E. Faulconbridge Brokerage Account XXXX0377","",""
"3/31/2023","VANGUARD TOTAL STOCK MARKET INDEX ADMIRAL CL - Buy","VANGUARD TOTAL STOCK MARKET INDEX ADMIRAL CL - Buy","100.00","debit","Buy","Gregory C Faulconbridge, Emily E. Faulconbridge Brokerage Account XXXX6426","",""
"3/31/2023","VANGUARD DIVIDEND APPREC INDEX ADMIRAL CL - Buy","VANGUARD DIVIDEND APPREC INDEX ADMIRAL CL - Buy","100.00","debit","Dividend & Cap Gains","Gregory C Faulconbridge, Emily E. Faulconbridge Brokerage Account XXXX6426","",""
"3/31/2023","COVENANT LOGISTICS GROUP INC CL A - Dividend","COVENANT LOGISTICS GROUP INC CL A - Dividend","0.99","credit","Dividend & Cap Gains","Gregory C Faulconbridge Roth IRA Brokerage Account XXXX9374","",""
"3/31/2023","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Dividend","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Dividend","40.04","credit","Dividend & Cap Gains","Gregory C Faulconbridge Roth IRA Brokerage Account XXXX9374","",""
"3/31/2023","VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Dividend","VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Dividend","4.29","credit","Dividend & Cap Gains","Gregory C Faulconbridge Roth IRA Brokerage Account XXXX9374","",""
"3/31/2023","HOOKER FURNISHINGS CORP - Dividend","HOOKER FURNISHINGS CORP - Dividend","3.52","credit","Dividend & Cap Gains","Gregory C Faulconbridge Roth IRA Brokerage Account XXXX9374","",""
"3/31/2023","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Reinvestment","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Reinvestment","40.04","debit","Investments","Gregory C Faulconbridge Roth IRA Brokerage Account XXXX9374","",""
"3/31/2023","VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep in","VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Sweep in","4.51","debit","Investments","Gregory C Faulconbridge Roth IRA Brokerage Account XXXX9374","",""
"3/31/2023","VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Reinvestment","VANGUARD FEDERAL MONEY MARKET FUND (Settlement Fund) - Reinvestment","4.29","debit","Investments","Gregory C Faulconbridge Roth IRA Brokerage Account XXXX9374","",""
"3/31/2023","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Reinvestment","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Reinvestment","37.69","debit","Investments","Emily E. Faulconbridge Roth IRA Brokerage Account XXXX0901","",""
"3/31/2023","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Dividend","VANGUARD TOTAL BOND MARKET INDEX ADMIRAL CL - Dividend","37.69","credit","Dividend & Cap Gains","Emily E. Faulconbridge Roth IRA Brokerage Account XXXX0901","",""
"3/31/2023","RJ BDP INTEREST","RJ BDP INTEREST","4.73","credit","Investments","Faulconbridge G ","",""
"3/30/2023","ICP*GOLDFISH SWIM SCHO 724-2020887 PA","ICP*GOLDFISH SWIM SCHO 724-2020887 PA","400.00","debit","Kids Activities","Citi Double Cash® Card","",""
"3/30/2023","BABYWHEELSORLANDO.COM 800-510-2480 FL","BABYWHEELSORLANDO.COM 800-510-2480 FL","132.16","debit","Shopping","Citi Double Cash® Card","",""
"3/30/2023","eBay O*14-09883-30859 San Jose CA","eBay O*14-09883-30859 San Jose CA","179.24","debit","Shopping","Citi Double Cash® Card","",""
"3/30/2023","MCDONALD'S F3945 GROVE CITY PA","MCDONALD'S F3945 GROVE CITY PA","18.40","debit","Fast Food","Citi Double Cash® Card","",""
"3/30/2023","AUTOPAY PAYMENT - THANK YOU","AUTOPAY PAYMENT - THANK YOU","660.40","credit","Credit Card Payment","Blue Cash Preferred®","",""
"3/30/2023","APPLE.COM/BILL      INTERNET CHARGE     CA","APPLE.COM/BILL      INTERNET CHARGE     CA","2.99","debit","Electronics & Software","Blue Cash Preferred®","",""
"3/30/2023","D J*WALL-ST-JOURNAL 800-568-7625        MA","D J*WALL-ST-JOURNAL 800-568-7625        MA","9.99","debit","Newspapers & Magazines","Blue from American Express","",""
"3/30/2023","UPMC DIR DEP","UPMC DIR DEP","1722.77","credit","Paycheck","Checking","",""
"3/30/2023","PHH MORTGAGE ONLINE PMT","PHH MORTGAGE ONLINE PMT","577.23","debit","Mortgage & Rent","Business Checking","",""
"3/29/2023","PAYPAL *COVENANTPRE 4029357733 CA","PAYPAL *COVENANTPRE 4029357733 CA","25.00","debit","Charity","Citi Double Cash® Card","",""
"3/29/2023","PAYPAL *COVENANTPRE 4029357733 CA","PAYPAL *COVENANTPRE 4029357733 CA","50.00","debit","Charity","Citi Double Cash® Card","",""
